ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,39,316,118.0,460.0,1.0,1.1391687510159985,0.5625211625304773,1.0,0.5745454545454546,0.6025876853004043,23.378897130868975,26.832815729997478,8.06225774829855,3.0873658407170295,2.8284271247461903,18.43731071033702,19.329272057232657,34.73758760039661,81.17800000000003,0.8207792207792208,117.14556962025317,460.57911392405066,0,39
1,40,693,947.0,457.0,1.0,1.5388669568035125,0.8513494690983325,1.0,0.4772727272727273,0.39384121411574186,46.14561075245576,51.61395160225576,10.0,3.51736572775512,3.0,25.45584412271571,24.207939964921003,31.388684048000556,148.7,0.7619571192963167,951.6277056277056,460.24963924963924,0,40
1,41,453,611.0,480.0,1.0,1.1678027186481743,0.7506286013270654,1.0,0.6863636363636364,0.6527184920015346,30.65589128003646,30.083217912982647,8.48528137423857,3.4990688733985857,3.1622776601683795,21.0,20.25509467916062,4.606862692794712,93.38800000000005,0.8736740597878495,616.4701986754967,479.61147902869754,0,41
1,42,459,61.0,483.0,1.0,1.8168016975362762,0.9441663371090024,1.0,0.534965034965035,0.550957963467101,43.772055484264015,39.92492955535426,6.708203932499369,3.065730131796927,3.0,15.264713484433189,14.421542383697192,-23.470206701654476,102.31800000000005,0.8603561387066542,53.751633986928105,486.82135076252723,0,42
1,43,500,527.0,490.0,1.0,2.416132810766478,0.944884758988208,1.0,0.44563279857397503,0.2725257090117629,52.69339785207106,52.49761899362675,7.0,2.4238775520758487,2.23606797749979,18.90902152123454,17.2519819947812,12.346457610338128,151.83999999999997,0.6978367062107467,516.078,488.224,0,43
1,44,345,402.0,481.0,1.0,2.007547755980971,0.9129779314682286,1.0,0.46875,0.39214207953693797,38.901840839815314,34.0147027033899,6.0,2.45155565465627,2.23606797749979,15.742054324904073,15.87229891813984,-61.31434665458252,105.14600000000004,0.749185667752443,398.4,489.71014492753625,0,44
1,45,334,592.0,531.0,1.0,1.2317390589071775,0.828709358957191,1.0,0.6626984126984127,0.5775477990984268,28.286475805692714,29.154759474226502,7.615773105863909,3.1857328537065976,2.8284271247461903,15.69860849645064,15.831351934045596,12.853938073967912,85.24800000000005,0.8871181938911022,594.5718562874251,531.745508982036,0,45
1,46,359,80.0,535.0,1.0,2.4592870192675322,0.9387668820141346,1.0,0.3519607843137255,0.3845059348528473,44.831355837896055,35.84689665786984,6.708203932499369,2.5672651430271953,2.23606797749979,15.628988488497717,15.446776288967827,-55.21472088160513,108.31800000000004,0.6629732225300092,85.20055710306407,526.0389972144847,0,46
1,47,780,392.0,550.0,1.0,1.3736566742544865,0.8888227992698282,1.0,0.5131578947368421,0.6066213570298736,47.48167617106208,47.50789408087881,10.63014581273465,4.309645501868816,4.0,21.35595755467132,21.758528306811055,50.33579408328809,127.11400000000006,0.9080325960419093,389.66410256410256,546.001282051282,0,47
1,48,830,178.0,552.0,1.0,1.2529202277816531,0.8277614429752985,1.0,0.5623306233062331,0.4998097924840369,44.87917065848573,43.41658669218482,10.295630140987,4.309977631537262,4.0,26.443016156412185,25.180814156536385,-31.361182187159454,144.458,0.8504098360655737,172.70963855421687,554.8927710843374,0,48
1,49,624,928.0,558.0,1.0,2.5714017361278936,0.9663009421285674,1.0,0.33986928104575165,0.25560200265763516,61.86074364153786,59.36328831862332,6.708203932499369,2.615995187532557,2.23606797749979,16.4921501412941,15.92388416756549,54.86517598764501,175.1519999999999,0.7933884297520661,928.7419871794872,554.8173076923077,0,49
1,50,880,677.0,561.0,1.0,1.621288096197348,0.775647131635829,1.0,0.4954954954954955,0.3246303619600637,50.955206891975365,49.040799340956916,8.94427190999916,3.4670378009120917,3.0,32.35916229780037,32.16123478704235,56.44620784374389,184.56599999999986,0.7463952502120441,687.9772727272727,565.1829545454545,0,50
1,51,437,376.0,609.0,1.0,2.836654430046648,0.9649972286207765,1.0,0.3194444444444444,0.26941227669453216,54.32256480854005,48.91829923454004,5.385164807134504,2.295618009774381,2.0,14.849242404917497,14.246640108875026,45.48714729147683,142.76999999999998,0.7626527050610821,367.5377574370709,598.3684210526316,0,51
1,52,485,728.0,592.0,1.0,1.1552525989576865,0.7693049591165578,1.0,0.7698412698412699,0.7108937116129341,31.862094427680155,31.906112267087632,10.0,3.887870215483867,3.605551275463989,20.0,20.35611038219224,3.9906949546754285,92.59200000000003,0.8834244080145719,724.0453608247423,591.9030927835051,0,52
